Unnamed: 0,Composition,MaterialId,Reduced Formula,Elements,NSites,Volume,Density,Point Group,Space Group,Space Group Number,Crystal System,Corrected Energy,Formation Energy Per Atom,Decomposition Energy Per Atom,Dimensionality Cheon,Bandgap,Is Train,Decomposition Energy Per Atom All,Decomposition Energy Per Atom Relative,Decomposition Energy Per Atom MP,Decomposition Energy Per Atom MP OQMD
316006,Mn2Na4O8Si2,d21bbe1c0e,Na2MnSiO4,"['O', 'Na', 'Si', 'Mn']",16,217.9293,2.9412,m,Pc,7,monoclinic,-114.6568,-2.538,-0.0183,,2.3486,,0.0,,-0.0183,-0.0049
316194,Na16P12Rb4Si4,d23b85332e,RbNa4SiP3,"['Na', 'Si', 'P', 'Rb']",36,899.1084,2.2047,mmm,Pnma,62,orthorhombic,-126.4782,-0.4093,-0.0305,,0.9607,,-0.0,,-0.0305,-0.0041
317958,Bi2Ca9Na1Si4,d366b8ad3d,NaCa9(Si2Bi)2,"['Na', 'Si', 'Ca', 'Bi']",16,460.2159,3.2979,4/m,I4/m,87,tetragonal,-58.4644,-0.6006,-0.0361,,0.0098,,-0.0,,-0.0358,-0.035
318139,Na1Pr3Pt6Si10,d388dfda2b,NaPr3(Si5Pt3)2,"['Na', 'Si', 'Pr', 'Pt']",20,357.7584,8.8053,m,Cm,8,monoclinic,-123.4456,-0.8551,-0.0211,,0.0046,,0.0,,-0.0209,-0.0026
319327,Bi4Na4O16Si4,d44ec77751,NaSiBiO4,"['O', 'Na', 'Si', 'Bi']",28,403.2747,5.3373,mmm,Pnma,62,orthorhombic,-191.1868,-2.481,-0.0133,,3.3612,,0.0,,-0.0133,-0.0131
320359,Cu1Na2Pd6Si3,d4fc522d61,Na2Cu(SiPd2)3,"['Na', 'Si', 'Cu', 'Pd']",12,199.3485,6.9329,m,Cm,8,monoclinic,-60.4205,-0.5267,-0.0093,,0.0057,,0.0,,-0.0086,-0.0086
321360,As12Hf1Li8Na12Si3,d5ad097370,Na12Li8Hf(SiAs4)3,"['Li', 'Na', 'Si', 'As', 'Hf']",36,763.2419,3.2487,2,C2,5,monoclinic,-133.8369,-0.5709,-0.0452,,,,0.0,,-0.0452,-0.0338
322782,Ir19Na3Sc2Si12,d69c20050a,Na3Sc2Si12Ir19,"['Na', 'Si', 'Sc', 'Ir']",36,558.2879,12.3377,mm2,Amm2,38,orthorhombic,-274.9642,-0.7027,-0.0874,,0.0055,,0.0,,-0.087,-0.077
324566,As4La2Na1Pd20Si2,d7d870599d,NaLa2Si2(AsPd5)4,"['Na', 'Si', 'As', 'Pd', 'La']",29,495.3894,9.3355,4/mmm,I4/mmm,139,tetragonal,-162.431,-0.6259,-0.0437,,,,0.0,,-0.0437,-0.0417
324797,Dy1Na1Pr2Pt6Si10,d804122a59,NaPr2Dy(Si5Pt3)2,"['Na', 'Si', 'Pr', 'Dy', 'Pt']",20,352.9609,9.0265,m,Cm,8,monoclinic,-123.1714,-0.8501,-0.0226,,0.0095,,0.0,,-0.0224,-0.0086
